From,To,Item,Amount,Line_ID,Transaction_ID
VOID,Game,New Session,1,0,0
VOID,Game,Buyer,1,1,1
VOID,Game,Seller,1,2,1
VOID,Game,Player,1,3,1
Game,Player,Capital,150,4,1
VOID,Game,Factory,1,5,1
Seller,Player,Testulator|Melt|3|5,2,6,2
Seller,Player,Capital,120,7,2
Player,Grid,00|Testulator|Melt|3|5,1,8,3
Player,Grid,01|Testulator|Melt|3|5,1,9,4
Seller,Player,Testonium|Bar|0|-1,6,10,5
Seller,Player,Capital,30,11,5
Player,Grid,00|Testonium|Bar|0,5,12,6
Player,Grid,01|Testonium|Bar|0,1,13,7
Grid,Player,Testonium|Melted|3,5,14,8
Grid,Player,Testonium|Melted|3,1,15,9
Player,Buyer,Testonium|Melted|3|-1,6,16,10
Player,Buyer,Capital,48,17,10
Seller,Player,Testonium|Bar|0|-1,9,18,11
Seller,Player,Capital,45,19,11
Player,Grid,00|Testonium|Bar|0,5,20,12
Player,Grid,01|Testonium|Bar|0,4,21,13
Grid,Player,Testonium|Melted|3,5,22,14
Grid,Player,Testonium|Melted|3,4,23,15
Player,Buyer,Testonium|Melted|3|-1,9,24,16
Player,Buyer,Capital,72,25,16
Seller,Player,Testonium|Bar|0|-1,15,26,17
Seller,Player,Capital,75,27,17
Player,Grid,00|Testonium|Bar|0,5,28,18
Player,Grid,01|Testonium|Bar|0,5,29,19
Grid,Player,Testonium|Melted|3,5,30,20
Grid,Player,Testonium|Melted|3,5,31,21
Player,Buyer,Testonium|Melted|3|-1,10,32,22
Player,Buyer,Capital,80,33,22
Seller,Player,Testulator|Melt|3|5,1,34,23
Seller,Player,Capital,60,35,23
Player,Grid,10|Testulator|Melt|3|5,1,36,24
Player,Grid,00|Testonium|Bar|0,5,37,25
Seller,Player,Testonium|Bar|0|-1,4,38,26
Seller,Player,Capital,20,39,26
Player,Grid,01|Testonium|Bar|0,4,40,27
Grid,Player,Testonium|Melted|3,5,41,28
Grid,Player,Testonium|Melted|3,4,42,29
Player,Buyer,Testonium|Melted|3|-1,9,43,30
Player,Buyer,Capital,72,44,30
Seller,Player,Testonium|Bar|0|-1,14,45,31
Seller,Player,Capital,70,46,31
Player,Grid,00|Testonium|Bar|0,5,47,32
Player,Grid,01|Testonium|Bar|0,5,48,33
Player,Grid,10|Testonium|Bar|0,4,49,34
Grid,Player,Testonium|Melted|3,5,50,35
Grid,Player,Testonium|Melted|3,5,51,36
Grid,Player,Testonium|Melted|3,4,52,37
Player,Buyer,Testonium|Melted|3|-1,1,53,38
Player,Buyer,Capital,8,54,38
Player,Buyer,Testonium|Melted|3|-1,13,55,39
Player,Buyer,Capital,104,56,39
Seller,Player,Testonium|Bar|0|-1,15,57,40
Seller,Player,Capital,75,58,40
Player,Grid,00|Testonium|Bar|0,5,59,41
Player,Grid,01|Testonium|Bar|0,5,60,42
Player,Grid,10|Testonium|Bar|0,5,61,43
Grid,Player,Testonium|Melted|3,5,62,44
Grid,Player,Testonium|Melted|3,5,63,45
Grid,Player,Testonium|Melted|3,5,64,46
Player,Buyer,Testonium|Melted|3|-1,15,65,47
Player,Buyer,Capital,120,66,47
Seller,Player,Testonium|Bar|0|-1,15,67,48
Seller,Player,Capital,75,68,48
Player,Grid,00|Testonium|Bar|0,5,69,49
Player,Grid,01|Testonium|Bar|0,5,70,50
Player,Grid,10|Testonium|Bar|0,5,71,51
Seller,Player,Testulator|Melt|3|5,1,72,52
Seller,Player,Capital,60,73,52
Seller,Player,Testonium|Bar|0|-1,4,74,53
Seller,Player,Capital,20,75,53
Player,Grid,11|Testulator|Melt|3|5,1,76,54
Player,Grid,11|Testonium|Bar|0,4,77,55
Grid,Player,Testonium|Melted|3,5,78,56
Grid,Player,Testonium|Melted|3,5,79,57
Grid,Player,Testonium|Melted|3,5,80,58
Grid,Player,Testonium|Melted|3,4,81,59
Player,Buyer,Testonium|Melted|3|-1,19,82,60
Player,Buyer,Capital,152,83,60
Seller,Player,Testonium|Bar|0|-1,20,84,61
Seller,Player,Capital,100,85,61
Player,Grid,00|Testonium|Bar|0,5,86,62
Player,Grid,01|Testonium|Bar|0,5,87,63
Player,Grid,10|Testonium|Bar|0,5,88,64
Player,Grid,11|Testonium|Bar|0,5,89,65
Grid,Player,Testonium|Melted|3,5,90,66
Grid,Player,Testonium|Melted|3,5,91,67
Grid,Player,Testonium|Melted|3,5,92,68
Grid,Player,Testonium|Melted|3,5,93,69
Player,Buyer,Testonium|Melted|3|-1,20,94,70
Player,Buyer,Capital,160,95,70
Seller,Player,Testonium|Bar|0|-1,20,96,71
Seller,Player,Capital,100,97,71
Player,Grid,00|Testonium|Bar|0,5,98,72
Player,Grid,01|Testonium|Bar|0,5,99,73
Player,Grid,10|Testonium|Bar|0,5,100,74
Player,Grid,11|Testonium|Bar|0,5,101,75
Grid,Player,Testonium|Melted|3,5,102,76
Grid,Player,Testonium|Melted|3,5,103,77
Grid,Player,Testonium|Melted|3,5,104,78
Grid,Player,Testonium|Melted|3,5,105,79
Player,Buyer,Testonium|Melted|3|-1,20,106,80
Player,Buyer,Capital,160,107,80
Seller,Player,Testonium|Bar|0|-1,20,108,81
Seller,Player,Capital,100,109,81
Player,Grid,00|Testonium|Bar|0,5,110,82
Player,Grid,01|Testonium|Bar|0,5,111,83
Player,Grid,10|Testonium|Bar|0,5,112,84
Player,Grid,11|Testonium|Bar|0,5,113,85
Grid,Player,Testonium|Melted|3,5,114,86
Grid,Player,Testonium|Melted|3,5,115,87
Grid,Player,Testonium|Melted|3,5,116,88
Grid,Player,Testonium|Melted|3,5,117,89
Player,Buyer,Testonium|Melted|3|-1,20,118,90
Player,Buyer,Capital,160,119,90
Seller,Player,Testonium|Bar|0|-1,20,120,91
Seller,Player,Capital,100,121,91
Player,Grid,00|Testonium|Bar|0,5,122,92
Player,Grid,01|Testonium|Bar|0,5,123,93
Player,Grid,10|Testonium|Bar|0,5,124,94
Player,Grid,11|Testonium|Bar|0,5,125,95
Grid,Player,Testonium|Melted|3,5,126,96
Grid,Player,Testonium|Melted|3,5,127,97
Grid,Player,Testonium|Melted|3,5,128,98
Grid,Player,Testonium|Melted|3,5,129,99
Player,Buyer,Testonium|Melted|3|-1,20,130,100
Player,Buyer,Capital,160,131,100
Seller,Player,Testonium|Bar|0|-1,20,132,101
Seller,Player,Capital,100,133,101
Player,Grid,00|Testonium|Bar|0,5,134,102
Player,Grid,01|Testonium|Bar|0,5,135,103
Player,Grid,10|Testonium|Bar|0,5,136,104
Player,Grid,11|Testonium|Bar|0,5,137,105
Grid,Player,Testonium|Melted|3,5,138,106
Grid,Player,Testonium|Melted|3,5,139,107
Grid,Player,Testonium|Melted|3,5,140,108
Grid,Player,Testonium|Melted|3,5,141,109
Player,Buyer,Testonium|Melted|3|-1,20,142,110
Player,Buyer,Capital,160,143,110
Seller,Player,Testulator|Melt|3|25,1,144,111
Seller,Player,Capital,300,145,111
Player,Grid,02|Testulator|Melt|3|25,1,146,112
Seller,Player,Testonium|Bar|0|-1,31,147,113
Seller,Player,Capital,155,148,113
Player,Grid,02|Testonium|Bar|0,25,149,114
Player,Grid,00|Testonium|Bar|0,5,150,115
Player,Grid,01|Testonium|Bar|0,1,151,116
Grid,Player,Testonium|Melted|3,5,152,117
